Driver,Team,Compound,LapNumber,TyreLife,TyreLifeSquared,Stint,Position,TrackStatus,IsPitLap,IsGreenFlag,RaceProgress,StintLength,StintProgress,DriverMedianPace,TeamMedianPace,PreviousLapTime,Rolling3LapAvg,Rolling5LapAvg,LapTimeSeconds
ALB,Williams,HARD,53.0,13.0,169.0,3.0,11.0,1,0,1,0.6794871794871795,36.0,0.3611111111111111,77.086,77.07499999999999,80.13,79.70800000000001,79.5102,79.403
ALB,Williams,HARD,54.0,14.0,196.0,3.0,11.0,1,0,1,0.6923076923076923,36.0,0.3888888888888889,77.086,77.07499999999999,79.403,79.787,79.3522,77.389
ALB,Williams,HARD,55.0,15.0,225.0,3.0,11.0,1,0,1,0.7051282051282052,36.0,0.4166666666666667,77.086,77.07499999999999,77.389,78.974,79.1832,77.086
ALB,Williams,HARD,56.0,16.0,256.0,3.0,11.0,1,0,1,0.717948717948718,36.0,0.4444444444444444,77.086,77.07499999999999,77.086,77.95933333333333,78.7672,79.159
ALB,Williams,HARD,57.0,17.0,289.0,3.0,11.0,1,0,1,0.7307692307692307,36.0,0.4722222222222222,77.086,77.07499999999999,79.159,77.878,78.63340000000001,76.136
ALB,Williams,HARD,58.0,18.0,324.0,3.0,11.0,1,0,1,0.7435897435897436,36.0,0.5,77.086,77.07499999999999,76.136,77.46033333333332,77.8346,75.795
ALB,Williams,HARD,59.0,19.0,361.0,3.0,11.0,1,0,1,0.7564102564102564,36.0,0.5277777777777778,77.086,77.07499999999999,75.795,77.03,77.113,75.509
ALB,Williams,HARD,60.0,20.0,400.0,3.0,11.0,1,0,1,0.7692307692307693,36.0,0.5555555555555556,77.086,77.07499999999999,75.509,75.81333333333333,76.737,75.726
ALB,Williams,HARD,61.0,21.0,441.0,3.0,11.0,1,0,1,0.782051282051282,36.0,0.5833333333333334,77.086,77.07499999999999,75.726,75.67666666666668,76.465,76.046
ALB,Williams,HARD,62.0,22.0,484.0,3.0,10.0,1,0,1,0.7948717948717948,36.0,0.6111111111111112,77.086,77.07499999999999,76.046,75.76033333333334,75.8424,76.37
ALB,Williams,HARD,63.0,23.0,529.0,3.0,10.0,1,0,1,0.8076923076923077,36.0,0.6388888888888888,77.086,77.07499999999999,76.37,76.04733333333333,75.8892,75.082
ALB,Williams,HARD,64.0,24.0,576.0,3.0,9.0,1,0,1,0.8205128205128205,36.0,0.6666666666666666,77.086,77.07499999999999,75.082,75.83266666666667,75.7466,76.228
ALB,Williams,HARD,65.0,25.0,625.0,3.0,9.0,1,0,1,0.8333333333333334,36.0,0.6944444444444444,77.086,77.07499999999999,76.228,75.89333333333333,75.8904,75.156
ALB,Williams,HARD,66.0,26.0,676.0,3.0,9.0,1,0,1,0.8461538461538461,36.0,0.7222222222222222,77.086,77.07499999999999,75.156,75.48866666666667,75.7764,74.87
ALB,Williams,HARD,67.0,27.0,729.0,3.0,9.0,1,0,1,0.8589743589743589,36.0,0.75,77.086,77.07499999999999,74.87,75.418,75.5412,74.928
ALB,Williams,HARD,68.0,28.0,784.0,3.0,9.0,1,0,1,0.8717948717948718,36.0,0.7777777777777778,77.086,77.07499999999999,74.928,74.98466666666667,75.25280000000001,74.885
ALB,Williams,HARD,69.0,29.0,841.0,3.0,9.0,1,0,1,0.8846153846153846,36.0,0.8055555555555556,77.086,77.07499999999999,74.885,74.89433333333334,75.21340000000001,76.79
ALB,Williams,HARD,70.0,30.0,900.0,3.0,9.0,1,0,1,0.8974358974358975,36.0,0.8333333333333334,77.086,77.07499999999999,76.79,75.53433333333334,75.3258,76.01
ALB,Williams,HARD,71.0,31.0,961.0,3.0,9.0,1,0,1,0.9102564102564102,36.0,0.8611111111111112,77.086,77.07499999999999,76.01,75.895,75.4966,75.751
ALB,Williams,HARD,72.0,32.0,1024.0,3.0,9.0,1,0,1,0.9230769230769231,36.0,0.8888888888888888,77.086,77.07499999999999,75.751,76.18366666666667,75.67280000000001,75.87
ALB,Williams,HARD,73.0,33.0,1089.0,3.0,9.0,1,0,1,0.9358974358974359,36.0,0.9166666666666666,77.086,77.07499999999999,75.87,75.87700000000001,75.86120000000001,75.15
ALB,Williams,HARD,74.0,34.0,1156.0,3.0,9.0,1,0,1,0.9487179487179487,36.0,0.9444444444444444,77.086,77.07499999999999,75.15,75.59033333333333,75.91420000000001,74.597
ALB,Williams,HARD,75.0,35.0,1225.0,3.0,9.0,1,0,1,0.9615384615384616,36.0,0.9722222222222222,77.086,77.07499999999999,74.597,75.20566666666667,75.4756,74.6
ALB,Williams,HARD,76.0,36.0,1296.0,3.0,9.0,1,0,1,0.9743589743589743,36.0,1.0,77.086,77.07499999999999,74.6,74.78233333333333,75.1936,74.776
ALO,Aston Martin,HARD,2.0,3.0,9.0,1.0,6.0,16,0,0,0.02564102564102564,16.0,0.125,77.033,78.116,88.332,88.332,88.332,107.072
ALO,Aston Martin,HARD,3.0,4.0,16.0,1.0,6.0,6,0,0,0.038461538461538464,16.0,0.1875,77.033,78.116,107.072,97.702,97.702,109.211
ALO,Aston Martin,HARD,4.0,5.0,25.0,1.0,6.0,671,0,0,0.05128205128205128,16.0,0.25,77.033,78.116,109.211,101.53833333333334,101.53833333333334,99.675
ALO,Aston Martin,HARD,5.0,6.0,36.0,1.0,6.0,1,0,1,0.0641025641025641,16.0,0.3125,77.033,78.116,99.675,105.31933333333332,101.07249999999999,80.94
ALO,Aston Martin,HARD,6.0,7.0,49.0,1.0,6.0,1,0,1,0.07692307692307693,16.0,0.375,77.033,78.116,80.94,96.60866666666668,97.046,80.424
ALO,Aston Martin,HARD,7.0,8.0,64.0,1.0,6.0,1,0,1,0.08974358974358974,16.0,0.4375,77.033,78.116,80.424,87.01299999999999,95.4644,80.222
ALO,Aston Martin,HARD,8.0,9.0,81.0,1.0,6.0,12,0,0,0.10256410256410256,16.0,0.5,77.033,78.116,80.222,80.52866666666667,90.0944,79.105
ALO,Aston Martin,HARD,9.0,10.0,100.0,1.0,6.0,2,0,0,0.11538461538461539,16.0,0.5625,77.033,78.116,79.105,79.917,84.0732,82.183
ALO,Aston Martin,HARD,10.0,11.0,121.0,1.0,6.0,2,0,0,0.1282051282051282,16.0,0.625,77.033,78.116,82.183,80.50333333333333,80.57480000000001,80.167
ALO,Aston Martin,HARD,11.0,12.0,144.0,1.0,6.0,21,0,0,0.14102564102564102,16.0,0.6875,77.033,78.116,80.167,80.48500000000001,80.4202,77.469
ALO,Aston Martin,HARD,12.0,13.0,169.0,1.0,6.0,1,0,1,0.15384615384615385,16.0,0.75,77.033,78.116,77.469,79.93966666666667,79.8292,77.319
